"#","Reference","Qty","Value","Footprint","DNP","Vendor","PartNum"
"1","C1, C2","2","22u 50V","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","","",""
"2","C3, C4","2","100n","Capacitor_SMD:C_0805_2012Metric","","",""
"3","C5","1","15p","Capacitor_SMD:C_0805_2012Metric","","",""
"4","D1, D2","2","BAT54S","Package_TO_SOT_SMD:SOT-23","","Mouser","863-BAT54SLT1G"
"5","D3","1","LED_ORANGE","LED_THT:LED_D3.0mm","","",""
"6","D4, D5, D6","3","LED_GREEN","LED_THT:LED_D3.0mm","","",""
"7","J1","1","Conn_02x05_Odd_Even","Eurorack:PinHeader_2x05_P2.54mm_Vertical","","Tayda","A-2939"
"8","J2, J3, J4, J5","4","AudioJack2_SwitchT","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566"
"9","J6","1","AudioJack2","Eurorack:AudioJack2_Tayda_A-1009","","Tayda","A-1009"
"10","Q1, Q2","2","BCM847","Package_SO:TSOP-6_1.65x3.05mm_P0.95mm","","Mouser","771-BCM847DS135"
"11","R1, R2","2","10","Resistor_SMD:R_0805_2012Metric","","",""
"12","R3, R4, R5, R6, R7, R8, R9, R15, R16, R17, R18, R19","12","100K","Resistor_SMD:R_0805_2012Metric","","",""
"13","R10","1","1K","Resistor_SMD:R_0805_2012Metric","","",""
"14","R11","1","300K","Resistor_SMD:R_0805_2012Metric","","",""
"15","R12, R13, R14","3","270K","Resistor_SMD:R_0805_2012Metric","","",""
"16","R20, R21, R22, R23","4","470","Resistor_SMD:R_0805_2012Metric","","",""
"17","RV1, RV2, RV3, RV4","4","A250K","Eurorack:Potentiometer_RV16AF-41-15R1","","",""
"18","U1","1","TL074","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","","Mouser","595-TL074CDR"
"19","U2","1","TL072","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","Mouser","595-TL072CDR"
